,Alias,AppAccountFlag,AttrStatus,ChatRoomId,City,ContactFlag,DisplayName,EncryChatRoomId,HeadImgUrl,HideInputBarFlag,IsOwner,KeyWord,MemberCount,MemberList,NickName,OwnerUin,PYInitial,PYQuanPin,Province,RemarkName,RemarkPYInitial,RemarkPYQuanPin,Sex,Signature,SnsFlag,StarFriend,Statues,Uin,UniFriend,UserName,VerifyFlag
0,,0,0,0,朝阳,3,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=674751037&username=@e25b13f647de9dd8f058d47b993acdaf&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],第一财经周刊,0,DYCJZK,diyicaijingzhoukan,北京,,,,0,这里是《第一财经周刊》读者俱乐部，我们为你发掘精彩的商业价值，也邀请你一起探寻明亮的商业世界。,0,0,0,0,0,@e25b13f647de9dd8f058d47b993acdaf,24
1,,0,0,0,郑州,1,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=623052514&username=@db497256a8c94af888546ab2e69c6c52&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],销售与市场,0,XSYSC,xiaoshouyushichang,河南,,,,0,《销售与市场》杂志社，关注中国市场发展趋势，致力为中国企业指引方向，提供最先进的营销理念与实务方法工具。,0,0,0,0,0,@db497256a8c94af888546ab2e69c6c52,24
2,,0,0,0,朝阳,1,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=623053473&username=@b29a09564dbc2f89423dcf52b6fd35d8286bd4f0c0e33ec205fa5510ea2ff0db&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,,0,[],环球人物,0,HQRW,huanqiurenwu,北京,,,,0,以人物记录时代,0,0,0,0,0,@b29a09564dbc2f89423dcf52b6fd35d8286bd4f0c0e33ec205fa5510ea2ff0db,24
3,,0,3,0,朝阳,1,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=623052538&username=@9fb0d7098f1b1cbcb527573bdf65e2d97baa8f38abcdd9bc1428ab9500bfa498&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,,0,[],中国企业家杂志,0,ZGQYJZZ,zhongguoqiyejiazazhi,北京,,,,0,多年来持续关注企业家阶层的生意与生活。打造最快捷高效的商业资讯交互平台，实现您的商业梦想与精神追求。,0,0,0,0,0,@9fb0d7098f1b1cbcb527573bdf65e2d97baa8f38abcdd9bc1428ab9500bfa498,24
4,,0,0,0,通州,1,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=626420319&username=@7430cb0afdbf77e9eeaa9b67955245c4&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],精华阅读,0,JHYD,jinghuayuedou,北京,,,,0,精华阅读，提升您价值的阅读平台。为您推荐情感、教育、职场、哲理、励志故事等精华文章，让您每天进步一点点！,0,0,0,0,0,@7430cb0afdbf77e9eeaa9b67955245c4,8
5,,0,0,0,,515,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=627601519&username=@8d00be61f5bcbfadb55ecc74da0de71e&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],信息发布台,0,XXFBT,xinxifabutai,,,,,0,和利时,0,0,0,0,0,@8d00be61f5bcbfadb55ecc74da0de71e,8
6,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=628160065&username=@a55b4dace2410157f69adf92b1396a32&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],和利时通讯录,0,HLSTXL,helishitongxunlu,,,,,0,可以通过微信查询公司通讯录,0,0,0,0,0,@a55b4dace2410157f69adf92b1396a32,8
7,,0,0,0,,515,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=627601523&username=@1e90e4f8e27861ff7a4ebf36d8d21aef&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],IT服务,0,ITFW,ITfuwu,,,,,0,为员工提供IT技术支持等服务,0,0,0,0,0,@1e90e4f8e27861ff7a4ebf36d8d21aef,8
8,,0,0,0,沈阳,3,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=631555304&username=@a267c095a1cc2dbde790a440811bc3c5&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],月白云,0,YBY,yuebaiyun,辽宁,,,,0,有为有不为，知足知不足。锐气藏于胸，和气浮于面。才气见于事，义气施于人。,0,0,0,0,0,@a267c095a1cc2dbde790a440811bc3c5,8
9,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=633284718&username=@dee976e1ed1ff1ac4ee08b4120a9c99f&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],和利时企业号消息,0,HLSQYHXX,helishiqiyehaoxiaoxi,,,,,0,消息服务，帮你在微信中接收企业内部聊天消息。,0,0,0,0,0,@dee976e1ed1ff1ac4ee08b4120a9c99f,8
10,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=628160070&username=@9c3136aea5bda02b7c30e7bf8cd508bf&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],微企通讯录,0,WQTXL,weiqitongxunlu,,,,,0,"开启微企通讯录，企业成员可以在微信上访问通讯录，实现企业内部通讯录的共享。
你还可以通过配置，进行访问权限的管理。",0,0,0,0,0,@9c3136aea5bda02b7c30e7bf8cd508bf,8
11,,0,0,0,朝阳,3,,,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=637022941&username=@425544e43de105ae1d7e8560d14abe2e&skey=@crypt_738f2167_7f62ffa36b5791db95f4bc338dc2d97a,0,0,gh_,0,[],财经,0,CJ,caijing,北京,,,,0,源于《财经》，广于财经。严谨论述与辛辣点评同台，图文与影音共享。有料也有趣，有态度也有温度，有品质也有性格。《财经》新媒体，您掌控的财经。,0,0,0,0,0,@425544e43de105ae1d7e8560d14abe2e,24
